date,TMP_mea,TMP_max,TMP_min,APCP,APCPRA,SSD,GSR,DLR,RH,Pref
2023-09-01,27.799476623535156,31.304664611816406,25.496191024780273,0.0,0.800000011920929,9.971450805664062,22.171106338500977,36.742023,76.15004,Aichi
2023-09-02,27.898954391479492,32.69667053222656,24.101604461669922,0.0,0.0,10.445267677307129,22.13631248474121,37.35385,76.10723,Aichi
2023-09-03,28.40052604675293,32.304901123046875,24.40260887145996,0.0,0.0,9.55500602722168,20.23843765258789,37.300983,76.31748,Aichi
2023-09-04,28.498455047607422,32.49962615966797,24.508647918701172,9.431488037109375,6.199999809265137,1.8877822160720825,13.943037986755371,38.767662,76.03048,Aichi
2023-09-05,27.70142936706543,31.2023868560791,25.401710510253906,5.98958683013916,4.5,9.131381034851074,21.49997329711914,36.922665,81.98409,Aichi
2023-09-06,26.096769332885742,29.294296264648438,24.39741325378418,7.0075297355651855,5.900000095367432,0.49548137187957764,6.459928035736084,37.92757,86.0551,Aichi
2023-09-07,25.699275970458984,28.206106185913086,23.597219467163086,2.963693857192993,3.0999999046325684,0.6999279856681824,9.605560302734375,37.158646,77.5166,Aichi
2023-09-08,24.79970359802246,27.10141944885254,22.800954818725586,2.0662901401519775,8.800000190734863,0.0014495336217805743,8.36381721496582,37.286667,78.657745,Aichi
2023-09-09,26.70013999938965,30.702735900878906,23.500165939331055,0.9877831339836121,1.2000000476837158,11.28666877746582,22.828168869018555,36.3049,77.88388,Aichi
2023-09-10,26.399681091308594,30.99801254272461,24.10080337524414,0.5466309189796448,2.0,4.354537487030029,13.466325759887695,37.405518,82.70283,Aichi
2023-09-11,24.90058708190918,26.80543327331543,22.90541648864746,86.07478332519531,80.69999694824219,0.40141844749450684,5.432430744171143,37.12848,88.56736,Aichi
2023-09-12,24.402339935302734,26.506999969482422,22.604265213012695,27.19544219970703,42.5,0.7970794439315796,9.99721908569336,36.605404,89.15111,Aichi
2023-09-13,25.801645278930664,30.1036319732666,22.104398727416992,0.0,0.4000000059604645,9.78131103515625,20.096393585205078,35.17339,82.202484,Aichi
2023-09-14,27.29766273498535,31.498638153076172,24.397464752197266,0.0,0.6000000238418579,7.311298847198486,18.94849967956543,37.17599,80.27597,Aichi
2023-09-15,28.30107307434082,33.10076904296875,24.605188369750977,0.0,0.0,10.385321617126465,23.55977439880371,38.07664,80.397995,Aichi
2023-09-16,28.30247688293457,32.803306579589844,25.20401382446289,0.0,0.0,10.688511848449707,20.29397201538086,37.094917,82.380775,Aichi
2023-09-17,27.901721954345703,31.303571701049805,25.302509307861328,0.0,0.0,8.804819107055664,18.872398376464844,36.656517,81.102615,Aichi
2023-09-18,27.89990234375,31.10325050354004,26.298267364501953,0.0,0.800000011920929,9.293588638305664,18.77862548828125,36.538654,79.988396,Aichi
2023-09-19,27.600889205932617,31.90163803100586,24.70186424255371,0.0,0.0,10.182046890258789,21.46930694580078,36.92681,80.2463,Aichi
2023-09-20,26.798538208007812,31.70016098022461,24.299907684326172,0.0,0.0,3.6591734886169434,12.156980514526367,37.977394,79.61339,Aichi
2023-09-21,26.800085067749023,30.296100616455078,24.30036735534668,9.06325912475586,7.0,1.7751433849334717,9.45274829864502,38.17691,86.27859,Aichi
2023-09-22,25.500690460205078,28.20512580871582,23.800947189331055,15.903820037841797,20.200000762939453,0.20124998688697815,9.32248306274414,37.24549,85.17567,Aichi
2023-09-23,25.496320724487305,29.895870208740234,23.49303436279297,0.0,2.5999999046325684,4.953921318054199,14.006134986877441,36.336567,62.38852,Aichi
2023-09-24,23.600120544433594,27.403913497924805,18.710350036621094,3.4610369205474854,2.9000000953674316,6.343818187713623,16.046293258666992,34.00146,63.085346,Aichi
2023-09-25,24.398723602294922,28.304115295410156,20.495243072509766,0.0,0.0,10.99145221710205,21.418344497680664,32.678417,58.324665,Aichi
2023-09-26,24.300893783569336,29.39963150024414,18.807769775390625,0.0,0.0,9.903694152832031,21.96076011657715,33.731255,68.2818,Aichi
2023-09-27,25.702634811401367,30.602027893066406,21.50666618347168,0.0,0.0,10.01230525970459,21.097257614135742,35.186806,77.47451,Aichi
2023-09-28,27.101381301879883,31.898548126220703,22.70697021484375,0.0,0.0,10.123491287231445,18.94601058959961,36.023464,73.672295,Aichi
2023-09-29,26.000354766845703,30.601581573486328,21.404691696166992,0.0,0.0,11.334630966186523,20.839160919189453,33.82939,62.344463,Aichi
2023-09-30,25.401578903198242,30.20008087158203,20.80323600769043,0.0,0.4000000059604645,7.471373558044434,16.830286026000977,35.754467,77.43062,Aichi
2023-10-01,24.398345947265625,27.491168975830078,22.59720230102539,0.0,2.4000000953674316,0.6963254809379578,5.288602828979492,34.994232,74.24476,Aichi
2023-10-02,22.796100616455078,26.597070693969727,20.488140106201172,0.0,0.0,9.290329933166504,17.68378257751465,30.981785,48.081257,Aichi
2023-10-03,21.498394012451172,25.005050659179688,17.491512298583984,13.067635536193848,11.5,3.9099631309509277,11.902761459350586,32.77035,61.528828,Aichi
2023-10-04,20.69904899597168,22.501197814941406,18.90395736694336,53.499290466308594,62.29999923706055,0.5994955897331238,6.38698148727417,34.533543,81.71232,Aichi
2023-10-05,20.39769744873047,23.398374557495117,17.89559555053711,0.0,0.0,1.9013447761535645,7.527522563934326,31.510344,66.88653,Aichi
2023-10-06,19.794946670532227,23.694665908813477,16.893104553222656,0.0,0.0,10.627931594848633,20.029224395751953,29.673895,50.96131,Aichi
2023-10-07,20.09528923034668,24.095626831054688,17.79209327697754,0.0,0.0,8.219568252563477,20.43741226196289,31.069794,46.979084,Aichi
